Player,Team,PS,GP,Min,FGM,FGA,X3M,X3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,PM
"acy,quincy",nyk,SF,53,1011,115,247,11,37,48,65,66,239,51,19,48,16,115,1,289,4,0,0,21,-194
"adams,jordan",mem,SG,19,151,19,43,5,13,7,12,2,12,8,11,10,5,19,0,50,0,0,0,0,-11
"adams,steven",okl,C,53,1280,156,284,0,1,70,132,134,369,53,23,81,67,159,0,382,2,0,0,50,58
"adrien,jeff",min,PF,17,215,19,44,0,0,22,38,23,77,15,4,9,9,30,0,60,0,0,0,0,-13
"afflalo,arron",por,SG,62,2012,309,731,95,278,148,176,22,205,114,36,100,5,128,1,861,0,0,0,56,-41
"ajinca,alexis",nor,C,51,714,141,242,0,0,63,77,79,239,32,15,50,37,119,0,345,1,0,0,6,2
"aldemir,furkan",phi,PF,27,283,16,33,0,1,5,10,44,100,16,11,11,12,49,0,37,0,0,0,2,-70
"aldrich,cole",nyk,C,47,752,106,226,0,0,33,40,81,246,51,28,45,49,96,1,245,0,0,0,12,-225
"aldridge,lamarcu",por,PF,56,2017,514,1125,28,74,247,284,148,588,97,40,103,57,108,0,1303,2,0,0,56,327
"allen,lavoy",ind,PF,48,932,129,261,0,0,30,44,110,286,62,13,32,38,85,0,288,0,0,0,0,99
"allen,tony",mem,SG,56,1441,198,400,6,25,71,108,87,229,77,113,73,28,156,1,473,5,0,0,36,209
"aminu,al-farouq",dal,SF,60,1023,119,281,28,103,59,78,74,245,40,59,42,51,108,0,325,3,0,0,3,138
"amundson,lou",nyk,PF,36,602,78,163,0,0,20,43,60,157,48,13,29,31,86,1,176,0,0,0,22,-69
"andersen,chris",mia,C,48,945,97,164,3,10,70,105,60,247,36,24,27,48,79,0,267,2,0,0,19,-3
"anderson,alan",bro,SG,63,1493,156,362,62,184,67,84,30,174,71,48,53,5,120,0,441,1,0,0,19,-100
"anderson,kyle",san,SG,27,336,29,81,3,11,9,14,5,68,28,13,10,7,26,0,70,0,0,0,8,-22
"anderson,ryan",nor,PF,52,1489,266,651,111,324,118,138,99,263,51,32,56,16,103,1,761,3,0,0,5,-23
"antetokounmpo,g",mil,SG,66,2024,304,618,7,39,200,271,83,437,163,67,142,70,198,0,815,3,0,0,56,14
"anthony,carmelo",nyk,SF,40,1430,358,806,61,179,189,237,72,264,122,40,89,17,87,0,966,1,0,0,40,-107
"anthony,joel",det,C,34,215,20,36,0,0,7,12,18,52,2,5,6,21,35,0,47,0,0,0,0,21
"antic,pero",atl,PF,49,793,81,234,38,136,64,91,47,142,41,9,41,13,99,0,264,1,0,0,2,125
"ariza,trevor",hou,SG,65,2319,279,725,147,442,94,109,63,349,158,123,106,12,154,0,799,4,0,0,65,175
"arthur,darrell",den,PF,54,920,153,363,26,104,45,57,49,159,51,45,46,26,136,2,377,3,0,0,3,-19
"asik,omer",nor,C,62,1594,166,321,0,0,111,185,191,604,55,24,78,48,116,0,443,1,0,0,61,-21
"augustin,d.j.",okc,PG,65,1579,224,551,66,195,164,189,16,134,306,42,123,2,77,0,678,1,0,0,14,-60
"ayres,jeff",san,PF,37,287,36,64,0,0,20,25,23,79,11,7,15,7,44,0,92,0,0,0,0,-31
"babbitt,luke",nor,SF,54,742,80,164,54,106,12,17,11,105,21,16,21,10,58,0,226,0,0,0,19,-99
